lon,lat,x,y,x_boundary,gap_m
-145.236,59.156,-11032560.736,6246126.493,-13673363.436,2640802.699
-145.144,59.146,-11026597.106,6245174.939,-13674590.015,2647992.908
-145.055,59.135,-11021033.710,6244034.876,-13676059.261,2655025.551
-144.978,59.124,-11016199.110,6243037.539,-13677344.281,2661145.171
-144.921,59.119,-11012413.781,6242514.179,-13678018.497,2665604.716
-144.878,59.119,-11009164.828,6242464.319,-13678082.726,2668917.897
-144.834,59.121,-11005606.190,6242725.950,-13677745.694,2672139.504
-144.791,59.128,-11001567.886,6243401.458,-13676875.421,2675307.534
-144.745,59.140,-10996879.218,6244591.971,-13675341.353,2678462.135
-144.686,59.159,-10990446.191,6246458.732,-13672935.113,2682488.922
-144.612,59.183,-10982381.496,6248800.013,-13669915.879,2687534.383
-144.538,59.207,-10974321.782,6251175.989,-13666850.380,2692528.598
-144.480,59.227,-10967905.922,6253146.503,-13664306.846,2696400.924
-144.428,59.239,-10962716.720,6254298.140,-13662819.826,2700103.107
-144.366,59.243,-10957556.163,6254742.385,-13662246.111,2704689.948
-144.259,59.246,-10949219.662,6254966.957,-13661956.068,2712736.407
-144.187,59.248,-10943542.497,6255196.269,-13661659.892,2718117.395
-144.071,59.251,-10934449.022,6255459.073,-13661320.438,2726871.416
-143.949,59.255,-10924726.454,6255892.738,-13660760.250,2736033.795
-143.859,59.263,-10917155.675,6256647.212,-13659785.534,2742629.860
-143.803,59.273,-10911829.756,6257681.319,-13658449.305,2746619.549
-143.756,59.284,-10907138.914,6258756.709,-13657059.422,2749920.507
-143.719,59.294,-10903295.146,6259739.193,-13655789.340,2752494.193
-143.692,59.302,-10900509.643,6260494.916,-13654812.220,2754302.577
-143.671,59.309,-10898151.950,6261189.163,-13653914.448,2755762.498
-143.650,59.317,-10895805.787,6261940.178,-13652943.120,2757137.333
-143.634,59.323,-10894006.333,6262542.825,-13652163.572,2758157.239
-143.628,59.325,-10893286.952,6262789.030,-13651845.068,2758558.116
-143.619,59.327,-10892418.203,6262968.423,-13651612.985,2759194.782
-143.597,59.331,-10890337.605,6263370.871,-13651092.301,2760754.695
-143.570,59.336,-10887829.246,6263800.153,-13650536.852,2762707.606
-143.488,59.331,-10882064.762,6263362.526,-13651103.098,2769038.335
-143.383,59.310,-10876220.211,6261321.064,-13653743.864,2777523.653
-143.000,59.196,-10858699.373,6250062.525,-13668287.169,2809587.796
-142.705,59.106,-10845293.649,6241264.507,-13679628.078,2834334.429
-142.515,59.055,-10836006.728,6236184.887,-13686166.271,2850159.543
-142.325,59.003,-10826783.529,6231066.670,-13692747.043,2865963.514
-142.136,58.950,-10817621.264,6225912.144,-13699367.294,2881746.030
-141.947,58.898,-10808521.125,6220720.956,-13706027.321,2897506.195
-141.843,58.871,-10803300.807,6218044.040,-13709458.799,2906157.992
-141.739,58.843,-10798100.012,6215355.642,-13712903.033,2914803.021
-141.636,58.816,-10792917.319,6212656.252,-13716359.369,2923442.050
-141.532,58.789,-10787751.307,6209946.358,-13719827.158,2932075.851
-141.367,58.753,-10778688.801,6206450.460,-13724297.825,2945609.023
-141.202,58.717,-10769667.072,6202927.661,-13728799.525,2959132.453
-141.038,58.681,-10760687.460,6199377.557,-13733332.698,2972645.239
