sample_name,reference,northing,easting,location,suite,rock_name,rock_group,rock_origin,core,sio2,al2o3,fe2o3_tot,feo_tot,mno,mgo,cao,na2o,k2o,tio2,p2o5,so3,loi,sro,bao,nio,fe2o3,feo,cr2o3,ba_ppm,ce_ppm,co_ppm,cr_ppm,cu_ppm,ga_ppm,la_ppm,nb_ppm,nd_ppm,ni_ppm,pb_ppm,rb_ppm,sc_ppm,sr_ppm,th_ppm,u_ppm,v_ppm,y_ppm,zn_ppm,zr_ppm,Quartz_norm,Albite_norm,Anorthite_norm,Orthoclase_norm,Nepheline_norm,Leucite_norm,Kalsilite_norm,Corundum_norm,Diopside_norm,Enstatite_norm,Wollastonite_norm,Olivine_norm,Larnite_norm,Acmite_norm,K2SiO3_norm,Na2SiO3_norm,Rutile_norm,Ilmenite_norm,Magnetite_norm,Hematite_norm,Apatite_norm,Zircon_norm,Perovskite_norm,Chromite_norm,Sphene_norm,Pyrite_norm,Halite_norm,Fluorite_norm,Anhydrite_norm,Na2SO4_norm,Calcite_norm,Na2CO3_norm,Total_norm,quartz,orthoclase,plagioclase,perthite,biotite,hornblende,clinopyroxene,orthopyroxene,olivine,spinel,epidote,zircon,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,rock_type
FR-ku121,Robinson(2014),23 42'57.09'' N ,44 34'37.86'' E,saudi_arabia,al_ruwaydah,granite,igneous,plutonic,0,75.29,13.12,1.05,NaN,0.02,0.09,0.7,3.75,4.98,0.06,0.01,0.01,0.53,,,,NaN,NaN,,18,58,113,6,4,30,20,34,46,1,29,241,10,5.5,22,10,4,204,40,102,32.37750212,32.18832252,3.289585745,30.62195358,0,0,0,0.215675962,0,1.102660407,0,0,0,0,0,0,0,0.063886374,0.093558401,0,0.019281435,0.011970059,0,0.000675681,0,0,0,0,0,0.017629381,0,0,100.02,27.168,0,0,68.391,0,4.441,0,0,0,0,0,0,13.4425799545393,3.00086427925403,0.683307384357305,-1.53399962949227,-0.327520576193166,-0.154969286484675,3.48973068441049,rhyolite
MD-016,dove_1997,-32.925436,134.079368,smooth_pool,st_peter_suite,granite,igneous,plutonic,0,75.75,13.68,0.68,<undefined>,0.02,0.17,0.98,3.74,4.55,0.09,0.01,0.01,0.27,,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.9424533,31.95140572,4.606519081,27.84166389,0,0,0,0.570855055,0,0.894571481,0,0,0,0,0,0,0,0.095386604,0.060310134,0,0.01919231,0,0,0,0,0,0,0,0,0.017547892,0,0,100.01,40,15,35,0,0,0,0,0,0,0,0,0,13.9216848527137,3.0099777318257,0.134741458841134,-1.19461270338972,-0.239039143360779,-0.278679991560395,3.05899401453628,rhyolite
FR-ih73,Robinson(2014),18 23'36.20'' N ,42 53'17.75'' E,saudi_arabia,ibn_hashbal,granite,igneous,plutonic,0,71.92,14.67,1.45,NaN,0.03,0.44,1.58,3.74,4.75,0.25,0.08,0.01,0.49,,,,NaN,NaN,,761,59,97,2,3,19,27,6.3,19,0,19,158,3.5,232,17,6.4,19,12,32,208,27.60290843,32.40545925,7.197669471,29.78469046,0,0,0,0.421136662,0,2.01442806,0,0,0,0,0,0,0,0.26856808,0.130352359,0,0.155627641,0.024627304,0,0.000227236,0,0,0,0,0,0.017786663,0,0,100.02,35.807,23.346,37.538,0,3.308,0,0,0,0,0,0,0,10.3864015980118,1.14777154669895,-0.414801271569502,-1.19166762539133,-0.280617823827126,-0.302577274687938,3.39073891692103,rhyolite
FR-ku123,Robinson(2014),23 42'58.68'' N ,44 34'44.32'' E,saudi_arabia,al_ruwaydah,granite,igneous,plutonic,0,75.18,12.99,1.2,NaN,0.02,0.09,0.59,3.74,4.89,0.07,0.01,0.01,0.5,,,,NaN,NaN,,21,70,116,2,2,29,21,41,51,0,30,237,11,4.3,25,8.8,3,214,48,117,32.9679573,32.24715838,2.775107666,30.20529805,0,0,0,0.340171222,0,1.233983939,0,0,0,0,0,0,0,0.074869597,0.107405174,0,0.019368225,0.013792166,0,0.000226241,0,0,0,0,0,0.017708735,0,0,99.99,35,0,0,63.47,0,1.53,0,0,0,0,0,0,13.2957908173406,3.00301519459566,0.854566546883587,-1.55925559297352,-0.332223363368294,-0.12571871609327,3.40368972760705,rhyolite
FR-wb62,Robinson(2014),19 26'59.31' N ,42 49'54.28'' E,saudi_arabia,wadbah,alkali_granite,igneous,plutonic,0,71.47,13.17,3.85,NaN,0.09,0.13,1.03,3.73,5.65,0.31,0.04,0.02,0.35,,,,NaN,NaN,,295,131,69,1,10,25,57,21,73,0,17,61,3.5,25,5.4,2.6,4,40,131,793,24.50465593,32.40750878,2.461221901,35.33651275,0,0,0,0,1.57957578,2.842638296,0,0,0,0,0,0,0,0.334615106,0.347761167,0,0.078185497,0.094340068,0,0.000114161,0,0,0,0,0,0.035743241,0,0,100.01,21.948,0,0,70.019,8.034,0,0,0,0,0,0,0,9.42255980226345,1.17715936436561,2.26713652104362,-1.07748061190504,-0.363611025219411,-0.0348280635665425,4.3436496367224,rhyolite
GJ-111,johnson_1991,,,red_hill_north,<undefined>,syenite,igneous,plutonic,0,69.74,12.58,NaN,<undefined>,0.12,0.9,2.67,3.72,5.61,0.24,0.26,NaN,0.32,,,,3.27,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.22908852,32.76386596,1.045420847,35.31720741,0,0,0,0,7.069024953,1.501398255,0,0,0,0,0,0,0,0.261695241,0.298379403,0,0.513381593,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,rhyolite
FR-wb61,Robinson(2014),19 26'51.74' N ,42 49'52.97'' E,saudi_arabia,wadbah,alkali_granite,igneous,plutonic,0,71.55,13.04,3.75,NaN,0.09,0.12,1,3.71,5.64,0.31,0.04,0.01,0.37,,,,NaN,NaN,,305,122,74,1,2,25,53,20,69,0,14,63,3.6,26,4.1,2.8,5,39,129,839,24.90127156,32.35598253,2.198586387,35.3376945,0,0,0,0,1.665983791,2.693635766,0,0,0,0,0,0,0,0.33517687,0.339297079,0,0.078316758,0.099980074,0,0.000114353,0,0,0,0,0,0.017901624,0,0,99.99,15.58,0,0,68.66,15.76,0,0,0,0,0,0,0,9.51195773789379,1.2774631902433,2.2790735273921,-1.19999286405881,-0.376285823601944,-0.0372261770643279,4.3206495039273,rhyolite
FR-wb65,Robinson(2014),19 27'09.68' N ,42 49'58.70'' E,saudi_arabia,wadbah,alkali_granite,igneous,plutonic,0,72.65,12.98,3.07,NaN,0.07,0.12,0.84,3.69,5.65,0.25,0.03,0.01,0.37,,,,NaN,NaN,,318,133,103,2,12,21,63,16,72,0,14,63,3.3,22,5.8,3.2,3,31,108,630,26.54666933,31.97810602,2.081335463,35.1869544,0,0,0,0,1.236306392,2.293982255,0,0,0,0,0,0,0,0.268634038,0.276055187,0,0.058374698,0.074610634,0,0.000227292,0,0,0,0,0,0.017791031,0,0,100.01,22.32,0,0,62.422,15.258,0,0,0,0,0,0,0,10.6328342656628,1.82102817042353,1.94443699075237,-1.29991889377036,-0.376087042790541,-0.104574719160412,4.27857536562725,rhyolite
FR-wb63,Robinson(2014),19 26'57.46' N ,42 49'58.05'' E,saudi_arabia,wadbah,alkali_granite,igneous,plutonic,0,71.58,13.14,3.48,NaN,0.08,0.13,0.93,3.69,5.66,0.27,0.03,0.01,0.55,,,,NaN,NaN,,265,131,80,2,23,24,58,19,74,0,14,64,3.7,20,6.4,4.8,5,37,122,730,25.13588144,32.19282837,2.505063082,35.46143606,0,0,0,0,1.263696216,2.691000179,0,0,0,0,0,0,0,0.292060179,0.315009994,0,0.058764115,0.087030322,0,0.000228808,0,0,0,0,0,0.017909715,0,0,100.01,21.901,0,0,64.334,13.765,0,0,0,0,0,0,0,9.61307609214706,1.28500370934758,2.0189956065209,-1.27704848216116,-0.416657042063078,-0.0642135976237466,4.32970321313608,rhyolite
DB-001,Brett(1998),,,<undefined>,walter_outalpa_granite,granite,igneous,plutonic,0,77.23,11.53,2.22,<undefined>,0.01,0.11,0.28,3.68,4.3,0.13,0.01,0.01,0.33,,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.73029716,31.7095853,1.282327108,26.53937873,0,0,0,0.234550363,0,2.129191589,0,0,0,0,0,0,0,0.138971818,0.198597083,0,0.019358235,0,0,0,0,0,0,0,0,0.017699601,0,0,100.01,23.343,49.795,25.582,0,1.281,0,0,0,0,0,0,0,14.6484545213707,4.39890912637042,2.70931918250134,-1.25926488083942,-0.208788801656137,0.0188851992331548,2.78261575054509,rhyolite
